"identifier","setSpec","id","repository"
"oai:edshare.soton.ac.uk:9","6469766973696F6E733D756F732D706B:756F732D6B78","54883","16"
"oai:edshare.soton.ac.uk:9","74797065733D7265736F75726365","54884","16"
"oai:edshare.soton.ac.uk:11","6469766973696F6E733D756F732D706B:756F732D6B78","54885","16"
"oai:edshare.soton.ac.uk:11","74797065733D7265736F75726365","54886","16"
"oai:edshare.soton.ac.uk:16","6469766973696F6E733D756F732D706B:756F732D6B78","54887","16"
"oai:edshare.soton.ac.uk:16","74797065733D7265736F75726365","54888","16"
"oai:edshare.soton.ac.uk:19","6469766973696F6E733D756F732D706B:756F732D6B78","54889","16"
"oai:edshare.soton.ac.uk:19","74797065733D7265736F75726365","54890","16"
"oai:edshare.soton.ac.uk:25","6469766973696F6E733D756F732D706B:756F732D6B78","54891","16"
"oai:edshare.soton.ac.uk:25","74797065733D7265736F75726365","54892","16"
"oai:edshare.soton.ac.uk:26","6469766973696F6E733D756F732D706B:756F732D6B78","54893","16"
"oai:edshare.soton.ac.uk:26","74797065733D7265736F75726365","54894","16"
"oai:edshare.soton.ac.uk:27","6469766973696F6E733D756F732D706B:756F732D6B78","54895","16"
"oai:edshare.soton.ac.uk:27","74797065733D7265736F75726365","54896","16"
"oai:edshare.soton.ac.uk:28","6469766973696F6E733D756F732D66616337:756F732D6670","54897","16"
"oai:edshare.soton.ac.uk:28","74797065733D7265736F75726365","54898","16"
"oai:edshare.soton.ac.uk:29","6469766973696F6E733D756F732D66616334:756F732D6562","54899","16"
"oai:edshare.soton.ac.uk:29","74797065733D7265736F75726365","54900","16"
"oai:edshare.soton.ac.uk:30","6469766973696F6E733D756F732D706B:756F732D6B78","54901","16"
"oai:edshare.soton.ac.uk:30","74797065733D7265736F75726365","54902","16"
"oai:edshare.soton.ac.uk:31","6469766973696F6E733D756F732D706B:756F732D6B78","54903","16"
"oai:edshare.soton.ac.uk:31","74797065733D7265736F75726365","54904","16"
"oai:edshare.soton.ac.uk:32","6469766973696F6E733D756F732D706B:756F732D6B78","54905","16"
"oai:edshare.soton.ac.uk:32","74797065733D7265736F75726365","54906","16"
"oai:edshare.soton.ac.uk:33","6469766973696F6E733D756F732D706B:756F732D6B78","54907","16"
"oai:edshare.soton.ac.uk:33","74797065733D7265736F75726365","54908","16"
"oai:edshare.soton.ac.uk:34","6469766973696F6E733D756F732D706B:756F732D6B78","54909","16"
"oai:edshare.soton.ac.uk:34","74797065733D7265736F75726365","54910","16"
"oai:edshare.soton.ac.uk:36","6469766973696F6E733D756F732D706B:756F732D6B78","54911","16"
"oai:edshare.soton.ac.uk:36","74797065733D7265736F75726365","54912","16"
"oai:edshare.soton.ac.uk:37","6469766973696F6E733D756F732D706B:756F732D6B78","54913","16"
"oai:edshare.soton.ac.uk:37","74797065733D7265736F75726365","54914","16"
"oai:edshare.soton.ac.uk:38","6469766973696F6E733D756F732D706B:756F732D6B78","54915","16"
"oai:edshare.soton.ac.uk:38","74797065733D7265736F75726365","54916","16"
"oai:edshare.soton.ac.uk:39","6469766973696F6E733D756F732D706B:756F732D6B78","54917","16"
"oai:edshare.soton.ac.uk:39","74797065733D7265736F75726365","54918","16"
"oai:edshare.soton.ac.uk:41","6469766973696F6E733D756F732D706B:756F732D6B78","54919","16"
"oai:edshare.soton.ac.uk:41","74797065733D7265736F75726365","54920","16"
"oai:edshare.soton.ac.uk:50","6469766973696F6E733D756F732D706B:756F732D6B78","54921","16"
"oai:edshare.soton.ac.uk:50","74797065733D7265736F75726365","54922","16"
